O*NET-SOC 2010 Code,O*NET-SOC 2010 Title,teleworkable,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,2010 Census Code
19-1029.01,Bioinformatics Scientists,1,19-1029.01,Bioinformatics Scientists,19-1029,"Biological Scientists, All Other",1610
19-1029.02,Molecular and Cellular Biologists,0,19-1029.02,Molecular and Cellular Biologists,19-1029,"Biological Scientists, All Other",1610
19-1029.03,Geneticists,1,19-1029.03,Geneticists,19-1029,"Biological Scientists, All Other",1610
19-1031.01,Soil and Water Conservationists,1,19-1031.00,Conservation Scientists,19-1031,Conservation Scientists,1640
19-1031.02,Range Managers,0,19-1031.02,Range Managers,19-1031,Conservation Scientists,1640
19-1031.03,Park Naturalists,0,19-1031.03,Park Naturalists,19-1031,Conservation Scientists,1640
19-1032.00,Foresters,0,19-1032.00,Foresters,19-1032,Foresters,1640
19-1041.00,Epidemiologists,1,19-1041.00,Epidemiologists,19-1041,Epidemiologists,1650
19-1042.00,"Medical Scientists, Except Epidemiologists",1,19-1042.00,"Medical Scientists, Except Epidemiologists",19-1042,"Medical Scientists, Except Epidemiologists",1650
19-2011.00,Astronomers,1,19-2011.00,Astronomers,19-2011,Astronomers,1700
19-2012.00,Physicists,1,19-2012.00,Physicists,19-2012,Physicists,1700
19-2021.00,Atmospheric and Space Scientists,1,19-2021.00,Atmospheric and Space Scientists,19-2021,Atmospheric and Space Scientists,1710
19-2031.00,Chemists,0,19-2031.00,Chemists,19-2031,Chemists,1720
19-2032.00,Materials Scientists,0,19-2032.00,Materials Scientists,19-2032,Materials Scientists,1720
19-2041.00,"Environmental Scientists and Specialists, Including Health",1,19-2041.00,"Environmental Scientists and Specialists, Including Health",19-2041,"Environmental Scientists and Specialists, Including Health",1740
19-2041.01,Climate Change Analysts,1,19-2041.01,Climate Change Policy Analysts,19-2041,"Environmental Scientists and Specialists, Including Health",1740
19-2041.02,Environmental Restoration Planners,1,19-2041.02,Environmental Restoration Planners,19-2041,"Environmental Scientists and Specialists, Including Health",1740
19-2041.03,Industrial Ecologists,1,19-2041.03,Industrial Ecologists,19-2041,"Environmental Scientists and Specialists, Including Health",1740
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",1,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19-2042,"Geoscientists, Except Hydrologists and Geographers",1740
19-2043.00,Hydrologists,1,19-2043.00,Hydrologists,19-2043,Hydrologists,1740
19-2099.01,Remote Sensing Scientists and Technologists,1,19-2099.01,Remote Sensing Scientists and Technologists,19-2099,"Physical Scientists, All Other",1760
19-3011.00,Economists,1,19-3011.00,Economists,19-3011,Economists,1800
19-3011.01,Environmental Economists,1,19-3011.01,Environmental Economists,19-3011,Economists,1800
19-3022.00,Survey Researchers,1,19-3022.00,Survey Researchers,19-3022,Survey Researchers,1815
19-3031.01,School Psychologists,1,19-3034.00,School Psychologists,19-3034,School Psychologists,1820
19-3031.02,Clinical Psychologists,1,19-3033.00,Clinical and Counseling Psychologists,19-3033,Clinical and Counseling Psychologists,1820
19-3031.03,Counseling Psychologists,1,19-3033.00,Clinical and Counseling Psychologists,19-3033,Clinical and Counseling Psychologists,1820
19-3032.00,Industrial-Organizational Psychologists,1,19-3032.00,Industrial-Organizational Psychologists,19-3032,Industrial-Organizational Psychologists,1820
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,1,19-3039.02,Neuropsychologists,19-3039,"Psychologists, All Other",1820
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,1,19-3039.03,Clinical Neuropsychologists,19-3039,"Psychologists, All Other",1820
19-3041.00,Sociologists,1,19-3041.00,Sociologists,19-3041,Sociologists,1830
19-3051.00,Urban and Regional Planners,0,19-3051.00,Urban and Regional Planners,19-3051,Urban and Regional Planners,1840
19-3091.01,Anthropologists,1,19-3091.00,Anthropologists and Archeologists,19-3091,Anthropologists and Archeologists,1860
19-3091.02,Archeologists,1,19-3091.00,Anthropologists and Archeologists,19-3091,Anthropologists and Archeologists,1860
19-3092.00,Geographers,1,19-3092.00,Geographers,19-3092,Geographers,1860
19-3093.00,Historians,0,19-3093.00,Historians,19-3093,Historians,1860
19-3094.00,Political Scientists,1,19-3094.00,Political Scientists,19-3094,Political Scientists,1860
19-3099.01,Transportation Planners,1,19-3099.01,Transportation Planners,19-3099,"Social Scientists and Related Workers, All Other",1860
19-4011.01,Agricultural Technicians,0,19-4012.00,Agricultural Technicians,19-4012,Agricultural Technicians,1900
19-4011.02,Food Science Technicians,0,19-4013.00,Food Science Technicians,19-4013,Food Science Technicians,1900
19-4021.00,Biological Technicians,0,19-4021.00,Biological Technicians,19-4021,Biological Technicians,1910
19-4031.00,Chemical Technicians,0,19-4031.00,Chemical Technicians,19-4031,Chemical Technicians,1920
19-4041.01,Geophysical Data Technicians,1,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",19-4043,"Geological Technicians, Except Hydrologic Technicians",1930
19-4041.02,Geological Sample Test Technicians,0,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",19-4043,"Geological Technicians, Except Hydrologic Technicians",1930
19-4051.01,Nuclear Equipment Operation Technicians,0,19-4051.00,Nuclear Technicians,19-4051,Nuclear Technicians,1940
19-4051.02,Nuclear Monitoring Technicians,0,19-4051.02,Nuclear Monitoring Technicians,19-4051,Nuclear Technicians,1940
19-4061.00,Social Science Research Assistants,1,19-4061.00,Social Science Research Assistants,19-4061,Social Science Research Assistants,1950
19-4061.01,City and Regional Planning Aides,0,19-3051.00,Urban and Regional Planners,19-3051,Urban and Regional Planners,1840
19-4091.00,"Environmental Science and Protection Technicians, Including Health",0,19-4042.00,"Environmental Science and Protection Technicians, Including Health",19-4042,"Environmental Science and Protection Technicians, Including Health",1930
19-4092.00,Forensic Science Technicians,0,19-4092.00,Forensic Science Technicians,19-4092,Forensic Science Technicians,1965
19-4093.00,Forest and Conservation Technicians,0,19-4071.00,Forest and Conservation Technicians,19-4071,Forest and Conservation Technicians,1965
19-4099.01,Quality Control Analysts,0,19-4099.01,Quality Control Analysts,19-4099,"Life, Physical, and Social Science Technicians, All Other",1965
19-4099.02,Precision Agriculture Technicians,1,19-4012.01,Precision Agriculture Technicians,19-4012,Agricultural Technicians,1900
19-4099.03,Remote Sensing Technicians,1,19-4099.03,Remote Sensing Technicians,19-4099,"Life, Physical, and Social Science Technicians, All Other",1965
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,1,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1011,Substance Abuse and Behavioral Disorder Counselors,2000
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",1,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",21-1012,"Educational, Guidance, and Career Counselors and Advisors",2000
21-1013.00,Marriage and Family Therapists,1,21-1013.00,Marriage and Family Therapists,21-1013,Marriage and Family Therapists,2000
21-1014.00,Mental Health Counselors,0,21-1014.00,Mental Health Counselors,21-1014,Mental Health Counselors,2000
21-1015.00,Rehabilitation Counselors,1,21-1015.00,Rehabilitation Counselors,21-1015,Rehabilitation Counselors,2000
21-1021.00,"Child, Family, and School Social Workers",0,21-1021.00,"Child, Family, and School Social Workers",21-1021,"Child, Family, and School Social Workers",2010
21-1022.00,Healthcare Social Workers,0,21-1022.00,Healthcare Social Workers,21-1022,Healthcare Social Workers,2010
21-1023.00,Mental Health and Substance Abuse Social Workers,0,21-1023.00,Mental Health and Substance Abuse Social Workers,21-1023,Mental Health and Substance Abuse Social Workers,2010
21-1091.00,Health Educators,0,21-1091.00,Health Education Specialists,21-1091,Health Education Specialists,2025
21-1092.00,Probation Officers and Correctional Treatment Specialists,1,21-1092.00,Probation Officers and Correctional Treatment Specialists,21-1092,Probation Officers and Correctional Treatment Specialists,2015
21-1093.00,Social and Human Service Assistants,0,21-1093.00,Social and Human Service Assistants,21-1093,Social and Human Service Assistants,2016
21-1094.00,Community Health Workers,0,21-1094.00,Community Health Workers,21-1094,Community Health Workers,2025
21-2011.00,Clergy,1,21-2011.00,Clergy,21-2011,Clergy,2040
21-2021.00,"Directors, Religious Activities and Education",1,21-2021.00,"Directors, Religious Activities and Education",21-2021,"Directors, Religious Activities and Education",2050
23-1011.00,Lawyers,1,23-1011.00,Lawyers,23-1011,Lawyers,2100
23-1012.00,Judicial Law Clerks,1,23-1012.00,Judicial Law Clerks,23-1012,Judicial Law Clerks,2105
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",1,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",2110
23-1022.00,"Arbitrators, Mediators, and Conciliators",1,23-1022.00,"Arbitrators, Mediators, and Conciliators",23-1022,"Arbitrators, Mediators, and Conciliators",2110
23-1023.00,"Judges, Magistrate Judges, and Magistrates",0,23-1023.00,"Judges, Magistrate Judges, and Magistrates",23-1023,"Judges, Magistrate Judges, and Magistrates",2110
23-2011.00,Paralegals and Legal Assistants,1,23-2011.00,Paralegals and Legal Assistants,23-2011,Paralegals and Legal Assistants,2145
23-2091.00,Court Reporters,1,27-3092.00,Court Reporters and Simultaneous Captioners,27-3092,Court Reporters and Simultaneous Captioners,2160
23-2093.00,"Title Examiners, Abstractors, and Searchers",1,23-2093.00,"Title Examiners, Abstractors, and Searchers",23-2093,"Title Examiners, Abstractors, and Searchers",2160
25-1011.00,"Business Teachers, Postsecondary",1,25-1011.00,"Business Teachers, Postsecondary",25-1011,"Business Teachers, Postsecondary",2200
25-1021.00,"Computer Science Teachers, Postsecondary",1,25-1021.00,"Computer Science Teachers, Postsecondary",25-1021,"Computer Science Teachers, Postsecondary",2200
25-1022.00,"Mathematical Science Teachers, Postsecondary",1,25-1022.00,"Mathematical Science Teachers, Postsecondary",25-1022,"Mathematical Science Teachers, Postsecondary",2200
25-1031.00,"Architecture Teachers, Postsecondary",1,25-1031.00,"Architecture Teachers, Postsecondary",25-1031,"Architecture Teachers, Postsecondary",2200
25-1032.00,"Engineering Teachers, Postsecondary",1,25-1032.00,"Engineering Teachers, Postsecondary",25-1032,"Engineering Teachers, Postsecondary",2200
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",1,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",25-1041,"Agricultural Sciences Teachers, Postsecondary",2200
25-1042.00,"Biological Science Teachers, Postsecondary",1,25-1042.00,"Biological Science Teachers, Postsecondary",25-1042,"Biological Science Teachers, Postsecondary",2200
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",1,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",25-1043,"Forestry and Conservation Science Teachers, Postsecondary",2200
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2200
25-1052.00,"Chemistry Teachers, Postsecondary",0,25-1052.00,"Chemistry Teachers, Postsecondary",25-1052,"Chemistry Teachers, Postsecondary",2200
25-1053.00,"Environmental Science Teachers, Postsecondary",1,25-1053.00,"Environmental Science Teachers, Postsecondary",25-1053,"Environmental Science Teachers, Postsecondary",2200
25-1054.00,"Physics Teachers, Postsecondary",1,25-1054.00,"Physics Teachers, Postsecondary",25-1054,"Physics Teachers, Postsecondary",2200
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",1,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",25-1061,"Anthropology and Archeology Teachers, Postsecondary",2200
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2200
25-1063.00,"Economics Teachers, Postsecondary",1,25-1063.00,"Economics Teachers, Postsecondary",25-1063,"Economics Teachers, Postsecondary",2200
25-1064.00,"Geography Teachers, Postsecondary",1,25-1064.00,"Geography Teachers, Postsecondary",25-1064,"Geography Teachers, Postsecondary",2200
25-1065.00,"Political Science Teachers, Postsecondary",1,25-1065.00,"Political Science Teachers, Postsecondary",25-1065,"Political Science Teachers, Postsecondary",2200
25-1066.00,"Psychology Teachers, Postsecondary",1,25-1066.00,"Psychology Teachers, Postsecondary",25-1066,"Psychology Teachers, Postsecondary",2200
25-1067.00,"Sociology Teachers, Postsecondary",1,25-1067.00,"Sociology Teachers, Postsecondary",25-1067,"Sociology Teachers, Postsecondary",2200
25-1071.00,"Health Specialties Teachers, Postsecondary",1,25-1071.00,"Health Specialties Teachers, Postsecondary",25-1071,"Health Specialties Teachers, Postsecondary",2200
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",1,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",25-1072,"Nursing Instructors and Teachers, Postsecondary",2200
25-1081.00,"Education Teachers, Postsecondary",1,25-1081.00,"Education Teachers, Postsecondary",25-1081,"Education Teachers, Postsecondary",2200
25-1082.00,"Library Science Teachers, Postsecondary",1,25-1082.00,"Library Science Teachers, Postsecondary",25-1082,"Library Science Teachers, Postsecondary",2200
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2200
25-1112.00,"Law Teachers, Postsecondary",1,25-1112.00,"Law Teachers, Postsecondary",25-1112,"Law Teachers, Postsecondary",2200
25-1113.00,"Social Work Teachers, Postsecondary",1,25-1113.00,"Social Work Teachers, Postsecondary",25-1113,"Social Work Teachers, Postsecondary",2200
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",1,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",25-1121,"Art, Drama, and Music Teachers, Postsecondary",2200
25-1122.00,"Communications Teachers, Postsecondary",1,25-1122.00,"Communications Teachers, Postsecondary",25-1122,"Communications Teachers, Postsecondary",2200
25-1123.00,"English Language and Literature Teachers, Postsecondary",1,25-1123.00,"English Language and Literature Teachers, Postsecondary",25-1123,"English Language and Literature Teachers, Postsecondary",2200
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",1,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",25-1124,"Foreign Language and Literature Teachers, Postsecondary",2200
25-1125.00,"History Teachers, Postsecondary",1,25-1125.00,"History Teachers, Postsecondary",25-1125,"History Teachers, Postsecondary",2200
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",1,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",25-1126,"Philosophy and Religion Teachers, Postsecondary",2200
25-1191.00,Graduate Teaching Assistants,1,25-9044.00,"Teaching Assistants, Postsecondary",25-9044,"Teaching Assistants, Postsecondary",2540
25-1192.00,"Home Economics Teachers, Postsecondary",1,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",25-1192,"Family and Consumer Sciences Teachers, Postsecondary",2200
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",1,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",2200
25-1194.00,"Vocational Education Teachers, Postsecondary",1,25-1194.00,"Career/Technical Education Teachers, Postsecondary",25-1194,"Career/Technical Education Teachers, Postsecondary",2200
25-2011.00,"Preschool Teachers, Except Special Education",1,25-2011.00,"Preschool Teachers, Except Special Education",25-2011,"Preschool Teachers, Except Special Education",2300
25-2012.00,"Kindergarten Teachers, Except Special Education",1,25-2012.00,"Kindergarten Teachers, Except Special Education",25-2012,"Kindergarten Teachers, Except Special Education",2300
25-2021.00,"Elementary School Teachers, Except Special Education",1,25-2021.00,"Elementary School Teachers, Except Special Education",25-2021,"Elementary School Teachers, Except Special Education",2310
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",1,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2310
25-2023.00,"Career/Technical Education Teachers, Middle School",1,25-2023.00,"Career/Technical Education Teachers, Middle School",25-2023,"Career/Technical Education Teachers, Middle School",2310
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",1,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",2320
25-2032.00,"Career/Technical Education Teachers, Secondary School",1,25-2032.00,"Career/Technical Education Teachers, Secondary School",25-2032,"Career/Technical Education Teachers, Secondary School",2320
25-2051.00,"Special Education Teachers, Preschool",1,25-2051.00,"Special Education Teachers, Preschool",25-2051,"Special Education Teachers, Preschool",2330
25-2052.00,"Special Education Teachers, Kindergarten and Elementary School",1,25-2055.00,"Special Education Teachers, Kindergarten",25-2055,"Special Education Teachers, Kindergarten",2330
25-2052.00,"Special Education Teachers, Kindergarten and Elementary School",1,25-2056.00,"Special Education Teachers, Elementary School",25-2056,"Special Education Teachers, Elementary School",2330
25-2053.00,"Special Education Teachers, Middle School",1,25-2057.00,"Special Education Teachers, Middle School",25-2057,"Special Education Teachers, Middle School",2330
25-2054.00,"Special Education Teachers, Secondary School",1,25-2058.00,"Special Education Teachers, Secondary School",25-2058,"Special Education Teachers, Secondary School",2330
25-2059.01,Adapted Physical Education Specialists,0,25-2059.01,Adapted Physical Education Specialists,25-2059,"Special Education Teachers, All Other",2330
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",2340
25-3021.00,Self-Enrichment Education Teachers,1,25-3021.00,Self-Enrichment Teachers,25-3021,Self-Enrichment Teachers,2340
25-3099.02,Tutors,1,25-3041.00,Tutors,25-3041,Tutors,2340
25-4011.00,Archivists,1,25-4011.00,Archivists,25-4011,Archivists,2400
25-4012.00,Curators,1,25-4012.00,Curators,25-4012,Curators,2400
25-4013.00,Museum Technicians and Conservators,0,25-4013.00,Museum Technicians and Conservators,25-4013,Museum Technicians and Conservators,2400
25-4021.00,Librarians,1,25-4022.00,Librarians and Media Collections Specialists,25-4022,Librarians and Media Collections Specialists,2430
25-4031.00,Library Technicians,1,25-4031.00,Library Technicians,25-4031,Library Technicians,2440
25-9011.00,Audio-Visual and Multimedia Collections Specialists,1,25-4022.00,Librarians and Media Collections Specialists,25-4022,Librarians and Media Collections Specialists,2430
25-9021.00,Farm and Home Management Advisors,0,25-9021.00,Farm and Home Management Educators,25-9021,Farm and Home Management Educators,2550
25-9031.00,Instructional Coordinators,1,25-9031.00,Instructional Coordinators,25-9031,Instructional Coordinators,2550
25-9031.01,Instructional Designers and Technologists,1,25-9031.00,Instructional Coordinators,25-9031,Instructional Coordinators,2550
25-9041.00,Teacher Assistants,1,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",25-9042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",2540
25-9041.00,Teacher Assistants,1,25-9043.00,"Teaching Assistants, Special Education",25-9043,"Teaching Assistants, Special Education",2540
25-9041.00,Teacher Assistants,1,25-9049.00,"Teaching Assistants, All Other",25-9049,"Teaching Assistants, All Other",2540
27-1011.00,Art Directors,1,27-1011.00,Art Directors,27-1011,Art Directors,2600
27-1012.00,Craft Artists,0,27-1012.00,Craft Artists,27-1012,Craft Artists,2600
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",1,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",2600
27-1014.00,Multimedia Artists and Animators,1,27-1014.00,Special Effects Artists and Animators,27-1014,Special Effects Artists and Animators,2600
27-1021.00,Commercial and Industrial Designers,1,27-1021.00,Commercial and Industrial Designers,27-1021,Commercial and Industrial Designers,2630
27-1022.00,Fashion Designers,1,27-1022.00,Fashion Designers,27-1022,Fashion Designers,2630
27-1023.00,Floral Designers,1,27-1023.00,Floral Designers,27-1023,Floral Designers,2630
27-1024.00,Graphic Designers,1,27-1024.00,Graphic Designers,27-1024,Graphic Designers,2630
27-1025.00,Interior Designers,1,27-1025.00,Interior Designers,27-1025,Interior Designers,2630
27-1026.00,Merchandise Displayers and Window Trimmers,0,27-1026.00,Merchandise Displayers and Window Trimmers,27-1026,Merchandise Displayers and Window Trimmers,2630
27-1027.00,Set and Exhibit Designers,1,27-1027.00,Set and Exhibit Designers,27-1027,Set and Exhibit Designers,2630
27-2011.00,Actors,0,27-2011.00,Actors,27-2011,Actors,2700
27-2012.01,Producers,0,27-2012.00,Producers and Directors,27-2012,Producers and Directors,2710
27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",1,27-2012.00,Producers and Directors,27-2012,Producers and Directors,2710
27-2012.03,Program Directors,0,27-2012.03,Media Programming Directors,27-2012,Producers and Directors,2710
27-2012.04,Talent Directors,1,27-2012.04,Talent Directors,27-2012,Producers and Directors,2710
27-2012.05,Technical Directors/Managers,0,27-2012.05,Media Technical Directors/Managers,27-2012,Producers and Directors,2710
27-2021.00,Athletes and Sports Competitors,1,27-2021.00,Athletes and Sports Competitors,27-2021,Athletes and Sports Competitors,2720
27-2022.00,Coaches and Scouts,1,27-2022.00,Coaches and Scouts,27-2022,Coaches and Scouts,2720
27-2023.00,"Umpires, Referees, and Other Sports Officials",0,27-2023.00,"Umpires, Referees, and Other Sports Officials",27-2023,"Umpires, Referees, and Other Sports Officials",2720
27-2031.00,Dancers,0,27-2031.00,Dancers,27-2031,Dancers,2740
27-2032.00,Choreographers,0,27-2032.00,Choreographers,27-2032,Choreographers,2740
27-2041.01,Music Directors,0,27-2041.00,Music Directors and Composers,27-2041,Music Directors and Composers,2750
27-2041.04,Music Composers and Arrangers,1,27-2041.00,Music Directors and Composers,27-2041,Music Directors and Composers,2750
27-2042.01,Singers,0,27-2042.00,Musicians and Singers,27-2042,Musicians and Singers,2750
27-2042.02,"Musicians, Instrumental",0,27-2042.00,Musicians and Singers,27-2042,Musicians and Singers,2750
27-3011.00,Radio and Television Announcers,0,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,27-3011,Broadcast Announcers and Radio Disc Jockeys,2800
27-3012.00,Public Address System and Other Announcers,1,27-3099.00,"Media and Communication Workers, All Other",27-3099,"Media and Communication Workers, All Other",2860
27-3021.00,Broadcast News Analysts,0,27-3023.00,"News Analysts, Reporters, and Journalists",27-3023,"News Analysts, Reporters, and Journalists",2810
27-3022.00,Reporters and Correspondents,1,27-3023.00,"News Analysts, Reporters, and Journalists",27-3023,"News Analysts, Reporters, and Journalists",2810
27-3031.00,Public Relations Specialists,1,27-3031.00,Public Relations Specialists,27-3031,Public Relations Specialists,2825
27-3041.00,Editors,1,27-3041.00,Editors,27-3041,Editors,2830
27-3042.00,Technical Writers,1,27-3042.00,Technical Writers,27-3042,Technical Writers,2840
27-3043.04,Copy Writers,1,27-3043.00,Writers and Authors,27-3043,Writers and Authors,2850
27-3043.05,"Poets, Lyricists and Creative Writers",1,27-3043.05,"Poets, Lyricists and Creative Writers",27-3043,Writers and Authors,2850
27-3091.00,Interpreters and Translators,0,27-3091.00,Interpreters and Translators,27-3091,Interpreters and Translators,2860
27-4011.00,Audio and Video Equipment Technicians,1,27-4011.00,Audio and Video Technicians,27-4011,Audio and Video Technicians,2900
27-4012.00,Broadcast Technicians,1,27-4012.00,Broadcast Technicians,27-4012,Broadcast Technicians,2900
27-4013.00,Radio Operators,1,43-2099.00,"Communications Equipment Operators, All Other",43-2099,"Communications Equipment Operators, All Other",5030
27-4014.00,Sound Engineering Technicians,1,27-4014.00,Sound Engineering Technicians,27-4014,Sound Engineering Technicians,2900
27-4021.00,Photographers,1,27-4021.00,Photographers,27-4021,Photographers,2910
27-4031.00,"Camera Operators, Television, Video, and Motion Picture",0,27-4031.00,"Camera Operators, Television, Video, and Film",27-4031,"Camera Operators, Television, Video, and Film",2920
27-4032.00,Film and Video Editors,1,27-4032.00,Film and Video Editors,27-4032,Film and Video Editors,2920
29-1011.00,Chiropractors,0,29-1011.00,Chiropractors,29-1011,Chiropractors,3000
29-1021.00,"Dentists, General",0,29-1021.00,"Dentists, General",29-1021,"Dentists, General",3010
29-1022.00,Oral and Maxillofacial Surgeons,0,29-1022.00,Oral and Maxillofacial Surgeons,29-1022,Oral and Maxillofacial Surgeons,3010
29-1023.00,Orthodontists,0,29-1023.00,Orthodontists,29-1023,Orthodontists,3010
29-1024.00,Prosthodontists,0,29-1024.00,Prosthodontists,29-1024,Prosthodontists,3010
29-1031.00,Dietitians and Nutritionists,0,29-1031.00,Dietitians and Nutritionists,29-1031,Dietitians and Nutritionists,3030
29-1041.00,Optometrists,0,29-1041.00,Optometrists,29-1041,Optometrists,3040
29-1051.00,Pharmacists,0,29-1051.00,Pharmacists,29-1051,Pharmacists,3050
29-1061.00,Anesthesiologists,0,29-1211.00,Anesthesiologists,29-1211,Anesthesiologists,3060
29-1062.00,Family and General Practitioners,0,29-1215.00,Family Medicine Physicians,29-1215,Family Medicine Physicians,3060
29-1063.00,"Internists, General",0,29-1216.00,General Internal Medicine Physicians,29-1216,General Internal Medicine Physicians,3060
29-1064.00,Obstetricians and Gynecologists,0,29-1218.00,Obstetricians and Gynecologists,29-1218,Obstetricians and Gynecologists,3060
29-1065.00,"Pediatricians, General",0,29-1221.00,"Pediatricians, General",29-1221,"Pediatricians, General",3060
29-1066.00,Psychiatrists,1,29-1223.00,Psychiatrists,29-1223,Psychiatrists,3060
29-1067.00,Surgeons,0,29-1242.00,"Orthopedic Surgeons, Except Pediatric",29-1242,"Orthopedic Surgeons, Except Pediatric",3060
29-1067.00,Surgeons,0,29-1243.00,Pediatric Surgeons,29-1243,Pediatric Surgeons,3060
29-1067.00,Surgeons,0,29-1249.00,"Surgeons, All Other",29-1249,"Surgeons, All Other",3060
29-1069.01,Allergists and Immunologists,0,29-1229.01,Allergists and Immunologists,29-1229,"Physicians, All Other",3060
29-1069.02,Dermatologists,0,29-1213.00,Dermatologists,29-1213,Dermatologists,3060
29-1069.03,Hospitalists,0,29-1229.02,Hospitalists,29-1229,"Physicians, All Other",3060
29-1069.04,Neurologists,0,29-1217.00,Neurologists,29-1217,Neurologists,3060
29-1069.05,Nuclear Medicine Physicians,0,29-1224.00,Radiologists,29-1224,Radiologists,3060
29-1069.06,Ophthalmologists,0,29-1241.00,"Ophthalmologists, Except Pediatric",29-1241,"Ophthalmologists, Except Pediatric",3060
29-1069.07,Pathologists,0,29-1222.00,"Physicians, Pathologists",29-1222,"Physicians, Pathologists",3060
29-1069.08,Physical Medicine and Rehabilitation Physicians,0,29-1229.04,Physical Medicine and Rehabilitation Physicians,29-1229,"Physicians, All Other",3060
29-1069.09,Preventive Medicine Physicians,1,29-1229.05,Preventive Medicine Physicians,29-1229,"Physicians, All Other",3060
29-1069.10,Radiologists,0,29-1224.00,Radiologists,29-1224,Radiologists,3060
29-1069.11,Sports Medicine Physicians,0,29-1229.06,Sports Medicine Physicians,29-1229,"Physicians, All Other",3060
29-1069.12,Urologists,0,29-1229.03,Urologists,29-1229,"Physicians, All Other",3060
29-1071.00,Physician Assistants,0,29-1071.00,Physician Assistants,29-1071,Physician Assistants,3110
29-1071.01,Anesthesiologist Assistants,0,29-1071.01,Anesthesiologist Assistants,29-1071,Physician Assistants,3110
29-1081.00,Podiatrists,0,29-1081.00,Podiatrists,29-1081,Podiatrists,3120
29-1122.00,Occupational Therapists,0,29-1122.00,Occupational Therapists,29-1122,Occupational Therapists,3150
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",29-1122,Occupational Therapists,3150
